Day m300 m600
2 10.8244065672685 13.2426778983188
3 8.99415062984061 11.4059949986358
4 7.53564673429602 9.87070343513564
5 6.36627242070195 8.58263407627264
6 5.42318250839178 7.49809011142418
7 4.65830086982834 6.58170299049014
8 4.03464347594132 5.80474934091641
9 3.52360409806962 5.14382550539522
10 3.10293988936224 4.57980039407051
11 2.75526853180197 4.09698561097409
12 2.46694129828346 3.6824757293141
13 2.22719381754243 3.32562222264674
14 2.02750308158999 3.01761270762334
15 1.86109844901233 2.75113341774294
16 1.72258826805392 2.52009765662377
17 1.60767380879634 2.31942671328256
18 1.51292953700957 2.1448726175671
19 1.43563414994957 1.99287436598764
20 1.37364077195463 1.86044100487218
21 1.32527766549407 1.74505633202314
22 1.28927303251365 1.64460105631176
23 1.26469916565393 1.5572891032164
24 1.25093250899984 1.48161542420019
25 1.2476272150668 1.41631319839363
26 1.25470062381665 1.36031873675869
27 1.27232980776182 1.31274273541876
28 1.30095898043178 1.27284679457289
