"day" "d300"
1 7.89380116335795
2 8.80105438477662
3 9.3869560421514
4 6.86041752733802
5 6.10053788910791
6 5.42135868791137
7 4.78811167290917
8 4.20181928833751
9 3.67098293160678
10 3.20093546749764
11 2.79162336247939
12 2.44346997429493
13 2.20263128328415
14 2.01542896424664
15 1.84863809495922
16 1.71501487076048
17 1.59494937077016
18 1.5077789466848
19 1.43156808314518
20 1.36418921763972
21 1.31420270372779
22 1.27570490015662
23 1.24862699418498
24 1.23600566131119
25 1.23659549264183
26 1.25009715567763
27 1.27706603841103
28 1.31670744508647
29 NA
30 NA
