,Day,IVM_400_1_HS,IVM_300_3_HS_A,IVM_300_A,IVM_300_HS_B,IVM_300_B,,IVM_300_A_B,,,,,,,,,,,,,,,,,,,
1,1,8.872163188,7.893801163,2.368140349,,NA,,2.368140349,,,,,,,,,,,,,,,,,,,
2,2,5.274959893,8.801054385,2.640316315,,NA,,2.640316315,,,,,,,,,aiming for 60% cov,,,,,,,,,,
3,3,4.594595381,9.386956042,2.816086813,,NA,,2.816086813,,,,,,,,,covA,0.3,,,,,,,,,
4,4,4.024753899,6.860417527,2.058125258,,NA,,2.058125258,,,,,,,,,covB,0.3,,,,,,,,,
5,5,3.513310693,6.100537889,1.830161367,,NA,,1.830161367,,,,,,,,,,,,,,,,,,,
6,6,3.062737584,5.421358688,1.626407606,,NA,,1.626407606,,,,,,,,,,,,,,,,,,,
7,7,2.673035924,4.788111673,1.436433502,,NA,,1.436433502,,,,,,,,,,,,,,,,,,,
8,8,2.351102807,4.201819288,1.260545787,,NA,,1.260545787,,,,,,,,,,,,,,,,,,,
9,9,2.143787492,3.670982932,1.101294879,,NA,,1.101294879,,,,,,,,,,,,,,,,,,,
10,10,1.953301665,3.200935467,0.96028064,7.893801163,2.368140349,,3.328420989,,,,,,,,,,,,,,,,,,,
11,11,1.805933983,2.791623362,0.837487009,8.801054385,2.640316315,,3.477803324,,,,,,,,,,,,,,,,,,,
12,12,1.671499704,2.443469974,0.733040992,9.386956042,2.816086813,,3.549127805,,,,,,,,,,,,,,,,,,,
13,13,1.564398893,2.202631283,0.660789385,6.860417527,2.058125258,,2.718914643,,,,,,,,,,,,,,,,,,,
14,14,1.483143011,2.015428964,0.604628689,6.100537889,1.830161367,,2.434790056,,,,,,,,,,,,,,,,,,,
15,15,1.407655402,1.848638095,0.554591428,5.421358688,1.626407606,,2.180999035,,,,,,,,,,,,,,,,,,,
16,16,1.346510297,1.715014871,0.514504461,4.788111673,1.436433502,,1.950937963,,,,,,,,,,,,,,,,,,,
17,17,1.300860094,1.594949371,0.478484811,4.201819288,1.260545787,,1.739030598,,,,,,,,,,,,,,,,,,,
18,18,1.265349467,1.507778947,0.452333684,3.670982932,1.101294879,,1.553628563,,,,,,,,,,,,,,,,,,,
19,19,1.243053765,1.431568083,0.429470425,3.200935467,0.96028064,,1.389751065,,,,,,,,,,,,,,,,,,,
20,20,1.234814358,1.364189218,0.409256765,2.791623362,0.837487009,,1.246743774,,,,,,,,,,,,,,,,,,,
21,21,1.239468587,1.314202704,0.394260811,2.443469974,0.733040992,,1.127301803,,,,,,,,,,,,,,,,,,,
22,22,1.25729466,1.2757049,0.38271147,2.202631283,0.660789385,,1.043500855,,,,,,,,,,,,,,,,,,,
23,23,1.288443757,1.248626994,0.374588098,2.015428964,0.604628689,,0.979216788,,,,,,,,,,,,,,,HR,8,1,1,3
,,,,,1.848638095,0.554591428,,0.554591428,,,,,,,,,,,,,,,day,10,1,1,7
,,,,,1.715014871,0.514504461,,0.514504461,,,,,,,,,,,,,,,,,,,
,,,,,1.594949371,0.478484811,,0.478484811,,,,,,,,,,,,,,,,,,,
,,,,,1.507778947,0.452333684,,0.452333684,,,,,,,,,,,,,,,,,,,
,,,,,1.431568083,0.429470425,,0.429470425,,,,,,,,,,,,,,,,,,,
,,,,,1.364189218,0.409256765,,0.409256765,,,,,,,,,,,,,,,,,,,
,,,,,1.314202704,0.394260811,,0.394260811,,,,,,,,,,,,,,,,,,,
,,,,,1.2757049,0.38271147,,0.38271147,,,,,,,,,,,,,,,,,,,
,,,,,1.248626994,0.374588098,,0.374588098,,,,,,,,,,,,,,,,,,,
