,dn0_lo10,dn0_med,dn0_up90,rn0_lo10,rn0_med,rn0_up90,gamman_lo10,gamman_med,gamman_up90,bioassay_mortality,resistance,,*Key note
1,0.51039146,0.541979954,0.562509453,0.436644608,0.456350279,0.486384648,2.64,2.64,2.64,1,0,,The halflife estimates here match exactly those for pyrethroid-only nets
2,0.509971217,0.541651297,0.562312266,0.436834495,0.456664648,0.486781556,2.630909074,2.634454374,2.63761465,0.99,0.01,,We make this assumption as we have no longitudinal data yet avaiable for
3,0.509757196,0.541324479,0.562112523,0.437026831,0.456977218,0.486983663,2.621785307,2.628875832,2.635209928,0.98,0.02,,pyrrole nets. This is the simplest assumption. We expect to update this in 2023
4,0.509434312,0.540872054,0.561882085,0.437248709,0.457409861,0.487288538,2.612627595,2.623266882,2.632785484,0.97,0.03,,when data will be available to better characterise this parameter. 
5,0.509110088,0.540552166,0.561644863,0.437477103,0.457715721,0.487594633,2.603431258,2.617626145,2.630340959,0.96,0.04,,
6,0.508782591,0.540188642,0.561385427,0.437726866,0.45806326,0.487903773,2.594166596,2.6119532,2.627875982,0.95,0.05,,
7,0.508448612,0.539772698,0.561134669,0.437968256,0.458460858,0.488218982,2.584834655,2.60624481,2.625390174,0.94,0.06,,
8,0.508130654,0.539348846,0.560938933,0.438156666,0.458865955,0.488519027,2.575458109,2.600482596,2.622883141,0.93,0.07,,
9,0.50774793,0.539014226,0.560772711,0.438316658,0.459185724,0.48888013,2.566092336,2.594704483,2.62035448,0.92,0.08,,
10,0.507396402,0.538654615,0.560585947,0.438496413,0.459529333,0.489211744,2.556585244,2.588921489,2.617803775,0.91,0.09,,
11,0.506914955,0.538272663,0.560388186,0.43868674,0.459894238,0.48966583,2.547099236,2.583110558,2.615230599,0.9,0.1,,
12,0.506498211,0.53788249,0.560204721,0.4388633,0.460266946,0.490058802,2.537651279,2.577271362,2.612634509,0.89,0.11,,
13,0.505967779,0.53745876,0.559973463,0.439085838,0.460671643,0.490558877,2.528174863,2.571403564,2.610018281,0.88,0.12,,
14,0.505371761,0.537082946,0.559766928,0.439284572,0.461030534,0.491120637,2.518411744,2.565506822,2.607396933,0.87,0.13,,
15,0.5047654,0.536623534,0.559546588,0.439496576,0.461469184,0.491691983,2.508553095,2.559571068,2.604755043,0.86,0.14,,
16,0.50435123,0.536037473,0.559297023,0.439736683,0.462028653,0.492082141,2.498676982,2.553594521,2.602092219,0.85,0.15,,
17,0.503944843,0.535525942,0.558941145,0.440079041,0.462516876,0.492464894,2.48906504,2.547630767,2.599408059,0.84,0.16,,
18,0.503443407,0.535092407,0.558656802,0.440352554,0.462930585,0.492937064,2.478931233,2.541623244,2.596702146,0.83,0.17,,
19,0.503012927,0.534722817,0.558307275,0.440688735,0.463283218,0.493342333,2.468712466,2.535576336,2.593974052,0.82,0.18,,
20,0.502527154,0.534291482,0.557877392,0.441102155,0.463694703,0.493799553,2.458497647,2.529496214,2.591223333,0.81,0.19,,
21,0.502080422,0.533883748,0.557635769,0.441334501,0.464083611,0.494219933,2.448732687,2.523388573,2.588449533,0.8,0.2,,
22,0.501625707,0.533321932,0.557294624,0.441662515,0.46461939,0.494647735,2.438964721,2.517157291,2.585652178,0.79,0.21,,
23,0.501173714,0.532888542,0.556956604,0.441987491,0.465032618,0.495072885,2.429179424,2.510914597,2.582830782,0.78,0.22,,
