,dn0_lo10,dn0_med,dn0_up90,rn0_lo10,rn0_med,rn0_up90,gamman_lo10,gamman_med,gamman_up90,bioassay_mortality,resistance
78,0.282458261,0.368675627,0.444173469,0.547830281,0.614094581,0.681552535,1.310019542,1.618330684,2.055923085,0.23,0.77
79,0.276268943,0.364053447,0.44064639,0.55103028,0.617970941,0.685923441,1.285133054,1.594899995,2.039968556,0.22,0.78
80,0.2687336,0.359789409,0.437538743,0.553842544,0.621524971,0.691141688,1.262746764,1.571426465,2.023223815,0.21,0.79
81,0.265233459,0.356111451,0.433532317,0.557457957,0.624573016,0.693525567,1.233594533,1.544332776,2.006861737,0.2,0.8
82,0.259021018,0.350343665,0.429672087,0.560930315,0.629319463,0.697692755,1.212649712,1.524013095,1.989997092,0.19,0.81
83,0.253273994,0.344249605,0.426016478,0.564208257,0.63428844,0.701472112,1.190236967,1.499762919,1.97248108,0.18,0.82
84,0.246346109,0.337490391,0.420642841,0.569007915,0.63974232,0.705928206,1.16997804,1.475871019,1.953573983,0.17,0.83
85,0.239033212,0.332236162,0.416783615,0.572440662,0.643938519,0.710508862,1.150016219,1.454711178,1.939804607,0.16,0.84
86,0.231306876,0.325298524,0.41197742,0.576698669,0.649418692,0.715205492,1.129130149,1.430414926,1.918668393,0.15,0.85
87,0.223879343,0.318137399,0.408437937,0.579821887,0.655000478,0.719576027,1.107311146,1.407933145,1.902163824,0.14,0.86
88,0.216284414,0.311203519,0.40217907,0.585317724,0.66032929,0.723892689,1.08367266,1.382196357,1.878593055,0.13,0.87
89,0.209072134,0.303656388,0.397602301,0.589314304,0.66604081,0.727843136,1.056966815,1.358204374,1.855597554,0.12,0.88
90,0.200884567,0.293955194,0.392567059,0.593688394,0.673240117,0.73214486,1.034691193,1.328064815,1.832768211,0.11,0.89
91,0.193506525,0.284203554,0.387164726,0.598354218,0.680306576,0.735847566,1.012659328,1.29832938,1.807092254,0.1,0.9
92,0.183948503,0.273758764,0.381328971,0.603361409,0.687674549,0.740389001,0.992731243,1.269765242,1.779371018,0.09,0.91
93,0.174821757,0.262194729,0.372996658,0.610448882,0.695574368,0.744443346,0.976865356,1.243407905,1.7493019,0.08,0.92
94,0.165491826,0.250036723,0.364667999,0.617456998,0.7035682,0.748288935,0.949913245,1.215568191,1.719897699,0.07,0.93
95,0.155680749,0.237016388,0.352267217,0.627740996,0.711749222,0.75199037,0.924638036,1.187882659,1.683887609,0.06,0.94
96,0.145669523,0.22210792,0.340404108,0.637398864,0.72059693,0.755386775,0.902855116,1.160349792,1.653350586,0.05,0.95
97,0.135816611,0.206700646,0.326389947,0.648560828,0.729109423,0.758334517,0.887533724,1.135189167,1.606858834,0.04,0.96
98,0.124364647,0.187044097,0.30894533,0.66204799,0.738950562,0.761241268,0.862979997,1.10891958,1.568858064,0.03,0.97
99,0.111806495,0.165023774,0.285891048,0.679096407,0.748473629,0.763748582,0.838069049,1.077354486,1.525616237,0.02,0.98
100,0.099198435,0.138599519,0.25151632,0.702613106,0.757542702,0.76550348,0.813217349,1.048802021,1.453955084,0.01,0.99
101,0.079190025,0.083027008,0.086773487,0.76643537,0.76655249,0.766589775,0.779601334,0.975241112,1.271628854,0,1
