,dn0_lo10,dn0_med,dn0_up90,rn0_lo10,rn0_med,rn0_up90,gamman_lo10,gamman_med,gamman_up90,bioassay_mortality,resistance
53,0.234255727,0.283975815,0.344178827,0.634345867,0.680469506,0.713430693,2.102160431,2.302133737,2.481941555,0.48,0.52
54,0.231944933,0.282628554,0.342243516,0.635913528,0.681431207,0.714823349,2.091246343,2.294337932,2.478087624,0.47,0.53
55,0.229766299,0.280990736,0.339992688,0.637730466,0.682595658,0.716123837,2.079018023,2.286613808,2.474186398,0.46,0.54
56,0.227754132,0.279244742,0.338395418,0.639015658,0.683831278,0.717314075,2.06683241,2.278916867,2.470236289,0.45,0.55
57,0.226586872,0.277712268,0.337865315,0.639441434,0.684910834,0.717999678,2.055922126,2.271092663,2.46623562,0.44,0.56
58,0.225104777,0.276360919,0.335686244,0.64118753,0.685859039,0.718865025,2.042914964,2.262831473,2.462182614,0.43,0.57
59,0.222849728,0.274636928,0.333387129,0.643022642,0.687063375,0.720170471,2.030080747,2.255222107,2.45807539,0.42,0.58
60,0.221035755,0.2732069,0.331264598,0.64471019,0.688057806,0.721210508,2.019061882,2.247090749,2.453911952,0.41,0.59
61,0.218491959,0.271334226,0.328964123,0.646531918,0.689353832,0.722654208,2.006257309,2.238779801,2.449690179,0.4,0.6
62,0.215950463,0.269445578,0.326444759,0.648518163,0.690653612,0.724078855,1.993192299,2.229934786,2.445407813,0.39,0.61
63,0.213496694,0.26729802,0.325258996,0.649449782,0.692122597,0.725437122,1.979716553,2.220887127,2.441062436,0.38,0.62
64,0.211376289,0.265107655,0.323634486,0.650722691,0.693610902,0.726597163,1.966119254,2.212647127,2.436618798,0.37,0.63
65,0.209360638,0.262957315,0.321711197,0.652224633,0.695062102,0.727687962,1.952473808,2.203818044,2.432058821,0.36,0.64
66,0.206904832,0.261354002,0.319531369,0.653920015,0.69613767,0.729001064,1.938568374,2.195136394,2.42699937,0.35,0.65
67,0.204729032,0.259772377,0.317599068,0.655416819,0.697193173,0.730149715,1.922531582,2.186697163,2.422321973,0.34,0.66
68,0.202668099,0.256939757,0.315600751,0.656958652,0.699069923,0.731224774,1.908994015,2.178528057,2.417782608,0.33,0.67
69,0.199854751,0.254396877,0.313416714,0.658636718,0.700739541,0.732671739,1.895899251,2.170170418,2.412706646,0.32,0.68
70,0.196873591,0.252222426,0.310445365,0.660907267,0.702155653,0.734178729,1.88188946,2.161435287,2.407359461,0.31,0.69
71,0.19381478,0.249873012,0.308172356,0.662634466,0.703673574,0.735696387,1.868008528,2.152048112,2.40188427,0.3,0.7
72,0.190820546,0.247570857,0.306819457,0.663658534,0.705148566,0.737153592,1.853453315,2.142015519,2.396015274,0.29,0.71
73,0.188293018,0.245170127,0.304609311,0.665324891,0.706673475,0.738361261,1.838762544,2.131818575,2.389979905,0.28,0.72
74,0.184893482,0.242181024,0.30177855,0.6674471,0.708552936,0.739953188,1.825288364,2.121579136,2.383889419,0.27,0.73
75,0.181688756,0.239860736,0.298593681,0.669818343,0.709997019,0.741419035,1.812749075,2.111148173,2.378244657,0.26,0.74
76,0.177852838,0.237230985,0.295409103,0.672171698,0.711617737,0.743128246,1.800170677,2.101132229,2.372202052,0.25,0.75
77,0.174937921,0.234169945,0.292845097,0.674053328,0.713482633,0.744393514,1.788229317,2.091554068,2.365690438,0.24,0.76
78,0.171706408,0.231094174,0.290500301,0.675763732,0.715332647,0.745761764,1.777413639,2.081889668,2.358970063,0.23,0.77
79,0.16826267,0.227770607,0.287573645,0.677884402,0.717304372,0.747179283,1.763948896,2.072033002,2.352033221,0.22,0.78
80,0.163992673,0.22481886,0.284316256,0.68022594,0.719031296,0.748877657,1.752833208,2.062228526,2.344862881,0.21,0.79
81,0.15974029,0.22172514,0.280555718,0.682904067,0.720816403,0.750502498,1.739023824,2.051843084,2.33873819,0.2,0.8
82,0.155693146,0.218166305,0.27738269,0.685142459,0.722837843,0.751985922,1.726660499,2.039200767,2.332401851,0.19,0.81
83,0.151746216,0.214420309,0.273499806,0.687854466,0.724927852,0.753372132,1.711889531,2.028227881,2.324512327,0.18,0.82
84,0.147487687,0.2101939,0.270627965,0.689840745,0.72723844,0.754799403,1.69932871,2.017799459,2.316300987,0.17,0.83
85,0.142613028,0.205681631,0.266744477,0.692499658,0.729648541,0.756344069,1.684772526,2.006839099,2.307843291,0.16,0.84
86,0.137346359,0.200979719,0.263362144,0.69478965,0.732096013,0.757903259,1.671954928,1.99423142,2.300669802,0.15,0.85
87,0.132170396,0.196345068,0.259961692,0.697067159,0.734443049,0.759322028,1.659103386,1.978980698,2.291116938,0.14,0.86
88,0.126132416,0.191397819,0.256531177,0.699339199,0.736874872,0.76083029,1.641616652,1.96516878,2.281355244,0.13,0.87
89,0.120950419,0.185511612,0.25296758,0.701671584,0.739666516,0.761995194,1.622911751,1.951556813,2.270823788,0.12,0.88
90,0.114157677,0.179526272,0.249204273,0.70410326,0.742388632,0.763335339,1.610960985,1.939925215,2.260464939,0.11,0.89
91,0.10851703,0.173122775,0.244972257,0.706798552,0.745166567,0.764250868,1.589161305,1.925741611,2.251465244,0.1,0.9
92,0.101198095,0.166746575,0.239068714,0.710486896,0.74778988,0.765030576,1.570623754,1.913762092,2.241353413,0.09,0.91
93,0.094403191,0.158990338,0.233554762,0.713854576,0.750782042,0.76546426,1.555965352,1.900907268,2.231016681,0.08,0.92
94,0.086194451,0.150856876,0.227520189,0.717451771,0.753676114,0.765868992,1.534496726,1.886054436,2.215720267,0.07,0.93
95,0.078757903,0.141427122,0.219591053,0.722031901,0.756705213,0.766223611,1.517727148,1.8686383,2.201785063,0.06,0.94
96,0.069761409,0.130862909,0.211371608,0.726599709,0.759423306,0.766362895,1.499739931,1.853236322,2.18447593,0.05,0.95
97,0.059061009,0.119982799,0.202241249,0.731445848,0.761568042,0.76641562,1.479401961,1.838041217,2.164733459,0.04,0.96
98,0.048767346,0.104807617,0.19103044,0.737052359,0.762881338,0.766451667,1.46109562,1.818644458,2.146455647,0.03,0.97
99,0.036526215,0.086278776,0.175124572,0.74431335,0.763658715,0.766484305,1.443181804,1.797202572,2.126790063,0.02,0.98
100,0.021247152,0.062494408,0.151035475,0.750014002,0.762697444,0.766401758,1.421883328,1.770329352,2.092057109,0.01,0.99
101,0,0,0,0.745631384,0.745631384,0.745631384,1.381246351,1.701051354,1.950789185,0,1
