"row","col"
210,10
240,10
241,11
182,12
183,13
213,13
184,14
214,14
215,15
245,15
249,19
193,23
223,23
224,24
226,26
198,28
228,28
229,29
259,29
200,30
230,30
260,30
210,33
240,33
241,34
182,35
183,36
213,36
184,37
214,37
215,38
245,38
249,42
193,46
198,51
200,53
210,99
240,99
241,100
182,101
183,102
213,102
184,103
214,103
215,104
245,104
193,112
198,117
200,119
210,122
240,122
210,123
240,123
180,124
210,124
240,124
180,126
241,132
181,133
241,133
181,134
211,134
241,134
211,135
182,142
182,143
182,144
242,144
212,145
242,146
183,152
213,152
183,153
213,153
183,154
213,154
243,154
243,156
184,162
214,162
184,163
214,163
184,164
214,164
244,164
244,166
215,172
245,172
185,173
215,173
245,173
185,174
215,174
245,174
185,175
246,183
186,184
216,184
246,184
186,185
246,185
216,186
247,193
187,194
247,194
217,195
247,195
187,196
248,203
668,203
672,203
673,203
677,203
678,203
679,203
682,203
683,203
684,203
687,203
688,203
689,203
692,203
693,203
694,203
697,203
698,203
699,203
702,203
703,203
704,203
707,203
708,203
709,203
713,203
714,203
718,203
719,203
723,203
724,203
728,203
729,203
218,204
248,204
188,205
678,205
679,205
683,205
684,205
688,205
689,205
693,205
694,205
698,205
699,205
703,205
704,205
708,205
709,205
713,205
714,205
718,205
719,205
724,205
729,205
218,206
685,209
686,209
687,209
688,209
689,209
690,209
691,209
692,209
693,209
694,209
695,209
696,209
697,209
698,209
699,209
700,209
701,209
702,209
703,209
704,209
705,209
706,209
707,209
708,209
709,209
710,209
711,209
712,209
713,209
714,209
715,209
716,209
717,209
718,209
719,209
720,209
721,209
722,209
723,209
724,209
725,209
726,209
727,209
728,209
729,209
730,209
686,210
687,210
690,210
691,210
692,210
695,210
696,210
697,210
700,210
701,210
702,210
705,210
706,210
707,210
710,210
711,210
712,210
715,210
716,210
717,210
720,210
721,210
722,210
725,210
726,210
727,210
730,210
249,212
189,213
219,213
249,213
684,213
685,213
686,213
687,213
688,213
689,213
690,213
691,213
692,213
693,213
694,213
695,213
696,213
697,213
698,213
699,213
700,213
701,213
702,213
703,213
704,213
705,213
706,213
707,213
708,213
709,213
710,213
711,213
712,213
713,213
714,213
715,213
716,213
717,213
718,213
719,213
720,213
721,213
722,213
723,213
724,213
725,213
726,213
727,213
728,213
729,213
730,213
189,214
219,214
249,214
690,214
691,214
695,214
696,214
700,214
701,214
705,214
706,214
710,214
711,214
712,214
715,214
716,214
717,214
720,214
721,214
722,214
725,214
726,214
727,214
730,214
691,215
692,215
693,215
694,215
695,215
696,215
697,215
698,215
699,215
700,215
701,215
702,215
703,215
704,215
705,215
706,215
707,215
708,215
709,215
710,215
711,215
712,215
713,215
714,215
715,215
716,215
717,215
718,215
719,215
720,215
721,215
722,215
723,215
724,215
725,215
726,215
727,215
728,215
729,215
730,215
700,217
705,217
710,217
712,217
715,217
717,217
720,217
722,217
725,217
727,217
730,217
702,219
704,219
706,219
707,219
709,219
711,219
712,219
714,219
716,219
717,219
719,219
721,219
722,219
724,219
726,219
727,219
729,219
730,219
706,221
708,221
711,221
713,221
716,221
718,221
721,221
723,221
726,221
728,221
699,223
702,223
703,223
704,223
707,223
708,223
709,223
713,223
714,223
718,223
719,223
723,223
724,223
728,223
729,223
190,224
220,224
250,224
220,225
190,226
250,226
714,227
716,227
719,227
721,227
724,227
726,227
729,227
720,229
721,229
722,229
723,229
725,229
726,229
727,229
728,229
730,229
723,231
724,231
726,231
728,231
729,231
191,233
712,233
715,233
716,233
717,233
720,233
721,233
722,233
725,233
726,233
727,233
730,233
191,234
221,235
251,235
728,237
729,237
192,243
722,243
725,243
726,243
727,243
730,243
192,244
222,244
252,244
252,245
222,246
193,252
223,252
193,253
223,253
253,253
193,254
223,254
253,254
224,262
224,263
194,264
224,264
254,264
254,265
194,266
225,273
225,274
255,274
195,275
255,276
226,282
226,283
196,284
226,284
256,285
196,286
197,293
197,294
227,294
257,294
227,295
257,295
198,302
228,302
198,303
228,303
198,304
228,304
258,304
258,306
229,312
259,312
199,313
229,313
259,313
199,314
229,314
259,314
200,322
230,322
260,322
200,323
230,323
260,323
200,324
230,324
260,324
231,333
201,334
231,334
261,334
201,335
261,335
210,352
240,352
210,353
240,353
210,354
240,354
210,355
240,355
210,356
240,356
210,357
240,357
210,358
240,358
210,359
240,359
210,360
240,360
210,361
240,361
241,362
241,363
241,364
241,365
241,366
241,367
241,368
241,369
241,370
241,371
182,372
182,373
182,374
182,375
182,376
182,377
182,378
182,379
182,380
182,381
183,382
213,382
183,383
213,383
183,384
213,384
183,385
213,385
183,386
213,386
183,387
213,387
183,388
213,388
183,389
213,389
183,390
213,390
183,391
213,391
184,392
214,392
184,393
214,393
184,394
214,394
184,395
214,395
184,396
214,396
184,397
214,397
184,398
214,398
184,399
214,399
184,400
214,400
184,401
214,401
215,402
245,402
215,403
245,403
215,404
245,404
215,405
245,405
215,406
245,406
215,407
245,407
215,408
245,408
215,409
245,409
215,410
245,410
215,411
245,411
249,442
249,443
249,444
249,445
249,446
193,482
193,483
193,484
193,485
193,486
193,487
193,488
193,489
193,490
193,491
198,532
198,533
198,534
198,535
198,536
198,537
198,538
198,539
198,540
198,541
200,552
200,553
200,554
200,555
200,556
200,557
200,558
200,559
200,560
200,561
