"t","mv","model"
1,41.5894028308611,"HS"
2,41.5894028308611,"HS"
3,41.5894028308611,"HS"
4,41.5894028308611,"HS"
5,41.5894028308611,"HS"
6,41.5894028308611,"HS"
7,41.5894028308611,"HS"
8,41.5894028308611,"HS"
9,41.5894028308611,"HS"
10,41.5894028308611,"HS"
11,41.5894028308611,"HS"
12,41.5894028308611,"HS"
13,41.5894028308611,"HS"
14,41.5894028308611,"HS"
15,41.5894028308611,"HS"
16,41.5894028308611,"HS"
17,41.5894028308611,"HS"
18,41.5894028308611,"HS"
19,41.5894028308611,"HS"
20,41.5894028308611,"HS"
21,41.5894028308611,"HS"
22,41.5894028308611,"HS"
23,41.5894028308611,"HS"
24,41.5894028308611,"HS"
25,41.5894028308611,"HS"
26,41.5894028308611,"HS"
27,41.5894028308611,"HS"
28,41.5894028308611,"HS"
29,41.5894028308611,"HS"
30,41.5894028308611,"HS"
31,41.5894028308611,"HS"
32,41.5894028308611,"HS"
33,41.5894028308611,"HS"
34,41.5894028308611,"HS"
35,41.5894028308611,"HS"
36,41.5894028308611,"HS"
37,41.5894028308611,"HS"
38,41.5894028308611,"HS"
39,41.5894028308611,"HS"
40,41.5894028308611,"HS"
41,41.5894028308611,"HS"
42,41.5894028308611,"HS"
43,41.5894028308611,"HS"
44,41.5894028308611,"HS"
45,41.5894028308611,"HS"
46,41.5894028308611,"HS"
47,41.5894028308611,"HS"
48,41.5894028308611,"HS"
49,41.5894028308611,"HS"
50,41.5894028308611,"HS"
51,41.5894028308611,"HS"
52,41.5894028308611,"HS"
53,41.5894028308611,"HS"
54,41.5894028308611,"HS"
55,41.5894028308611,"HS"
56,41.5894028308611,"HS"
57,41.5894028308611,"HS"
58,41.5894028308611,"HS"
59,41.5894028308611,"HS"
60,41.5894028308611,"HS"
61,41.5894028308611,"HS"
62,41.5894028308611,"HS"
63,41.5894028308611,"HS"
64,41.5894028308611,"HS"
65,41.5894028308611,"HS"
66,41.5894028308611,"HS"
67,41.5894028308611,"HS"
68,41.5894028308611,"HS"
69,41.5894028308611,"HS"
70,41.5894028308611,"HS"
71,41.5894028308611,"HS"
72,41.5894028308611,"HS"
73,41.5894028308611,"HS"
74,41.5894028308611,"HS"
75,41.5894028308611,"HS"
76,41.5894028308611,"HS"
77,41.5894028308611,"HS"
78,41.5894028308611,"HS"
79,41.5894028308611,"HS"
80,41.5894028308611,"HS"
81,41.5894028308611,"HS"
82,41.5894028308611,"HS"
83,41.5894028308611,"HS"
84,41.5894028308611,"HS"
85,41.5894028308611,"HS"
86,41.5894028308611,"HS"
87,41.5894028308611,"HS"
88,41.5894028308611,"HS"
89,41.5894028308611,"HS"
90,41.5894028308611,"HS"
91,41.5894028308611,"HS"
92,41.5894028308611,"HS"
93,41.5894028308611,"HS"
94,41.5894028308611,"HS"
95,41.5894028308611,"HS"
96,41.5894028308611,"HS"
97,41.5894028308611,"HS"
98,41.5894028308611,"HS"
99,41.5894028308611,"HS"
100,41.5894028308611,"HS"
101,41.5894028308611,"HS"
102,41.5894028308611,"HS"
103,41.5894028308611,"HS"
104,41.5894028308611,"HS"
105,41.5894028308611,"HS"
106,41.5894028308611,"HS"
107,41.5894028308611,"HS"
108,41.5894028308611,"HS"
109,41.5894028308611,"HS"
110,41.5894028308611,"HS"
111,41.5894028308611,"HS"
112,41.5894028308611,"HS"
113,41.5894028308611,"HS"
114,41.5894028308611,"HS"
115,41.5894028308611,"HS"
116,41.5894028308611,"HS"
117,41.5894028308611,"HS"
118,41.5894028308611,"HS"
119,41.5894028308611,"HS"
120,41.5894028308611,"HS"
121,41.5894028308611,"HS"
122,41.5894028308611,"HS"
123,41.5894028308611,"HS"
124,41.5894028308611,"HS"
125,41.5894028308611,"HS"
126,41.5894028308611,"HS"
127,41.5894028308611,"HS"
128,41.5894028308611,"HS"
129,41.5894028308611,"HS"
130,41.5894028308611,"HS"
131,41.5894028308611,"HS"
132,41.5894028308611,"HS"
133,41.5894028308611,"HS"
134,41.5894028308611,"HS"
135,41.5894028308611,"HS"
136,41.5894028308611,"HS"
137,41.5894028308611,"HS"
138,41.5894028308611,"HS"
139,41.5894028308611,"HS"
140,41.5894028308611,"HS"
141,41.5894028308611,"HS"
142,41.5894028308611,"HS"
143,41.5894028308611,"HS"
144,41.5894028308611,"HS"
145,41.5894028308611,"HS"
146,41.5894028308611,"HS"
147,41.5894028308611,"HS"
148,41.5894028308611,"HS"
149,41.5894028308611,"HS"
150,41.5894028308611,"HS"
151,41.5894028308611,"HS"
152,41.5894028308611,"HS"
153,41.5894028308611,"HS"
154,41.5894028308611,"HS"
155,41.5894028308611,"HS"
156,41.5894028308611,"HS"
157,41.5894028308611,"HS"
158,41.5894028308611,"HS"
159,41.5894028308611,"HS"
160,41.5894028308611,"HS"
161,41.5894028308611,"HS"
162,41.5894028308611,"HS"
163,41.5894028308611,"HS"
164,41.5894028308611,"HS"
165,41.5894028308611,"HS"
166,41.5894028308611,"HS"
167,41.5894028308611,"HS"
168,41.5894028308611,"HS"
169,41.5894028308611,"HS"
170,41.5894028308611,"HS"
171,41.5894028308611,"HS"
172,41.5894028308611,"HS"
173,41.5894028308611,"HS"
174,41.5894028308611,"HS"
175,41.5894028308611,"HS"
176,41.5894028308611,"HS"
177,41.5894028308611,"HS"
178,41.5894028308611,"HS"
179,41.5894028308611,"HS"
180,41.5894028308611,"HS"
181,41.5894028308611,"HS"
182,41.5894028308611,"HS"
183,41.5894028308611,"HS"
184,41.5894028308611,"HS"
185,41.5894028308611,"HS"
186,41.5894028308611,"HS"
187,41.5894028308611,"HS"
188,41.5894028308611,"HS"
189,41.5894028308611,"HS"
190,41.5894028308611,"HS"
191,41.5894028308611,"HS"
192,41.5894028308611,"HS"
193,41.5894028308611,"HS"
194,41.5894028308611,"HS"
195,41.5894028308611,"HS"
196,41.5894028308611,"HS"
197,41.5894028308611,"HS"
198,41.5894028308611,"HS"
199,41.5894028308611,"HS"
200,41.5894028308611,"HS"
201,41.5894028308611,"HS"
202,41.5894028308611,"HS"
203,41.5894028308611,"HS"
204,41.5894028308611,"HS"
205,41.5894028308611,"HS"
206,41.5894028308611,"HS"
207,41.5894028308611,"HS"
208,41.5894028308611,"HS"
209,41.5894028308611,"HS"
210,41.5894028308611,"HS"
211,41.5894028308611,"HS"
212,41.5894028308611,"HS"
213,41.5894028308611,"HS"
214,41.5894028308611,"HS"
215,41.5894028308611,"HS"
216,41.5894028308611,"HS"
217,41.5894028308611,"HS"
218,41.5894028308611,"HS"
219,41.5894028308611,"HS"
220,41.5894028308611,"HS"
221,41.5894028308611,"HS"
222,41.5894028308611,"HS"
223,41.5894028308611,"HS"
224,41.5894028308611,"HS"
225,41.5894028308611,"HS"
226,41.5894028308611,"HS"
227,41.5894028308611,"HS"
228,41.5894028308611,"HS"
229,41.5894028308611,"HS"
230,41.5894028308611,"HS"
231,41.5894028308611,"HS"
232,41.5894028308611,"HS"
233,41.5894028308611,"HS"
234,41.5894028308611,"HS"
235,41.5894028308611,"HS"
236,41.5894028308611,"HS"
237,41.5894028308611,"HS"
238,41.5894028308611,"HS"
239,41.5894028308611,"HS"
240,41.5894028308611,"HS"
241,41.5894028308611,"HS"
242,41.5894028308611,"HS"
243,41.5894028308611,"HS"
244,41.5894028308611,"HS"
245,41.5894028308611,"HS"
246,41.5894028308611,"HS"
247,41.5894028308611,"HS"
248,41.5894028308611,"HS"
249,41.5894028308611,"HS"
250,41.5894028308611,"HS"
251,41.5894028308611,"HS"
252,41.5894028308611,"HS"
253,41.5894028308611,"HS"
254,41.5894028308611,"HS"
255,41.5894028308611,"HS"
256,41.5894028308611,"HS"
257,41.5894028308611,"HS"
258,41.5894028308611,"HS"
259,41.5894028308611,"HS"
260,41.5894028308611,"HS"
261,41.5894028308611,"HS"
262,41.5894028308611,"HS"
263,41.5894028308611,"HS"
264,41.5894028308611,"HS"
265,41.5894028308611,"HS"
266,41.5894028308611,"HS"
267,41.5894028308611,"HS"
268,41.5894028308611,"HS"
269,41.5894028308611,"HS"
270,41.5894028308611,"HS"
271,41.5894028308611,"HS"
272,41.5894028308611,"HS"
273,41.5894028308611,"HS"
274,41.5894028308611,"HS"
275,41.5894028308611,"HS"
276,41.5894028308611,"HS"
277,41.5894028308611,"HS"
278,41.5894028308611,"HS"
279,41.5894028308611,"HS"
280,41.5894028308611,"HS"
281,41.5894028308611,"HS"
282,41.5894028308611,"HS"
283,41.5894028308611,"HS"
284,41.5894028308611,"HS"
