"row","col"
181,11
211,11
241,11
213,13
184,14
214,14
185,15
215,15
186,16
218,18
249,19
220,20
221,21
222,22
194,24
196,26
198,28
199,29
259,29
230,30
181,34
211,34
241,34
213,36
184,37
214,37
185,38
215,38
186,39
218,41
249,42
220,43
194,47
196,49
198,51
199,52
181,100
211,100
241,100
213,102
184,103
214,103
185,104
215,104
186,105
194,113
196,115
198,117
199,118
180,124
210,124
240,124
180,125
210,125
240,126
181,132
211,132
241,132
181,133
211,133
241,133
181,134
211,134
241,134
212,143
182,144
212,144
242,144
182,145
242,145
213,152
213,153
243,153
213,154
243,154
183,155
184,162
214,162
184,163
214,163
184,164
214,164
244,164
244,165
185,172
215,172
185,173
215,173
245,173
185,174
215,174
245,174
245,175
186,182
186,183
186,184
246,184
216,185
246,186
187,194
217,194
247,194
187,195
217,196
247,196
218,202
218,203
668,203
672,203
673,203
677,203
678,203
682,203
683,203
684,203
687,203
688,203
689,203
692,203
693,203
694,203
697,203
698,203
699,203
702,203
703,203
704,203
707,203
708,203
709,203
712,203
713,203
714,203
718,203
719,203
723,203
724,203
728,203
729,203
188,204
218,204
248,204
188,206
248,206
680,207
681,207
682,207
683,207
684,207
685,207
686,207
687,207
688,207
689,207
690,207
691,207
692,207
693,207
694,207
695,207
696,207
697,207
698,207
699,207
700,207
701,207
702,207
703,207
704,207
705,207
706,207
707,207
708,207
709,207
710,207
711,207
712,207
713,207
714,207
715,207
716,207
717,207
718,207
719,207
720,207
721,207
722,207
723,207
724,207
725,207
726,207
727,207
728,207
729,207
730,207
682,208
683,208
684,208
687,208
688,208
689,208
692,208
693,208
694,208
697,208
698,208
699,208
702,208
703,208
704,208
707,208
708,208
709,208
712,208
713,208
714,208
718,208
719,208
723,208
724,208
728,208
729,208
683,209
684,209
685,209
686,209
687,209
688,209
689,209
690,209
691,209
692,209
693,209
694,209
695,209
696,209
697,209
698,209
699,209
700,209
701,209
702,209
703,209
704,209
705,209
706,209
707,209
708,209
709,209
710,209
711,209
712,209
713,209
714,209
715,209
716,209
717,209
718,209
719,209
720,209
721,209
722,209
723,209
724,209
725,209
726,209
727,209
728,209
729,209
730,209
249,212
219,213
249,213
685,213
686,213
690,213
691,213
695,213
696,213
700,213
701,213
705,213
706,213
710,213
711,213
715,213
716,213
717,213
720,213
721,213
722,213
725,213
726,213
727,213
730,213
219,214
249,214
189,215
696,217
697,217
698,217
699,217
701,217
702,217
703,217
704,217
706,217
707,217
708,217
709,217
711,217
712,217
713,217
714,217
716,217
718,217
719,217
721,217
723,217
724,217
726,217
728,217
729,217
699,218
702,218
704,218
707,218
709,218
712,218
714,218
719,218
724,218
729,218
702,219
703,219
704,219
705,219
707,219
708,219
709,219
710,219
712,219
713,219
714,219
715,219
717,219
718,219
719,219
720,219
722,219
723,219
724,219
725,219
727,219
728,219
729,219
730,219
708,221
710,221
713,221
715,221
717,221
718,221
720,221
722,221
723,221
725,221
727,221
728,221
730,221
220,222
190,223
220,223
250,223
699,223
702,223
703,223
704,223
707,223
708,223
709,223
712,223
713,223
714,223
718,223
719,223
723,223
724,223
728,223
729,223
190,224
220,224
250,224
714,227
716,227
719,227
721,227
724,227
726,227
729,227
720,229
721,229
722,229
723,229
725,229
726,229
727,229
728,229
730,229
723,231
724,231
726,231
728,231
729,231
221,232
191,233
221,233
715,233
716,233
717,233
720,233
721,233
722,233
725,233
726,233
727,233
730,233
191,234
221,234
251,234
251,235
728,237
729,237
222,242
222,243
252,243
722,243
725,243
726,243
727,243
730,243
192,244
222,244
252,244
192,246
193,254
253,254
193,255
223,255
253,256
194,262
194,263
254,263
194,264
224,264
254,264
224,265
195,274
225,274
255,274
255,275
195,276
225,276
196,282
196,283
196,284
226,284
256,284
226,285
256,286
197,294
257,294
227,295
197,296
257,296
198,302
198,303
198,304
228,304
258,304
228,306
258,306
199,312
259,312
199,313
259,313
199,314
229,314
259,314
229,316
230,322
230,323
260,323
200,324
230,324
260,324
200,325
231,333
201,334
231,334
261,334
201,336
261,336
181,362
211,362
241,362
181,363
211,363
241,363
181,364
211,364
241,364
181,365
211,365
241,365
181,366
211,366
241,366
181,367
211,367
241,367
181,368
211,368
241,368
181,369
211,369
241,369
181,370
211,370
241,370
181,371
211,371
241,371
213,382
213,383
213,384
213,385
213,386
213,387
213,388
213,389
213,390
213,391
184,392
214,392
184,393
214,393
184,394
214,394
184,395
214,395
184,396
214,396
184,397
214,397
184,398
214,398
184,399
214,399
184,400
214,400
184,401
214,401
185,402
215,402
185,403
215,403
185,404
215,404
185,405
215,405
185,406
215,406
185,407
215,407
185,408
215,408
185,409
215,409
185,410
215,410
185,411
215,411
186,412
186,413
186,414
186,415
186,416
186,417
186,418
186,419
186,420
186,421
218,432
218,433
218,434
218,435
249,442
249,443
249,444
249,445
220,452
221,462
194,492
194,493
194,494
194,495
194,496
194,497
194,498
194,499
194,500
194,501
196,512
196,513
196,514
196,515
196,516
196,517
196,518
196,519
196,520
196,521
198,532
198,533
198,534
198,535
198,536
198,537
198,538
198,539
198,540
198,541
199,542
199,543
199,544
199,545
199,546
199,547
199,548
199,549
199,550
199,551
