"row","col"
180,10
181,11
212,12
242,12
183,13
184,14
214,14
244,14
185,15
247,17
220,20
250,20
251,21
252,22
223,23
259,29
201,31
231,31
180,33
181,34
212,35
242,35
183,36
184,37
214,37
244,37
185,38
247,40
220,43
250,43
201,54
180,99
181,100
212,101
242,101
183,102
184,103
214,103
244,103
185,104
247,106
201,120
180,122
180,123
240,123
180,124
210,124
240,124
240,125
210,126
181,132
181,133
181,134
211,134
241,134
211,135
241,136
212,142
242,142
212,143
242,143
212,144
242,144
182,145
183,152
183,153
183,154
213,154
243,154
213,155
243,156
184,162
214,162
244,162
184,163
214,163
244,163
184,164
214,164
244,164
185,172
185,173
185,174
215,174
245,174
215,175
245,175
216,183
186,184
216,184
246,184
186,185
246,185
247,192
247,193
187,194
247,194
217,195
187,196
669,203
670,203
674,203
675,203
676,203
679,203
680,203
681,203
684,203
685,203
686,203
689,203
690,203
691,203
694,203
695,203
696,203
699,203
700,203
701,203
704,203
705,203
706,203
710,203
711,203
715,203
716,203
720,203
721,203
725,203
726,203
730,203
218,204
248,204
188,205
675,205
676,205
680,205
681,205
685,205
686,205
690,205
691,205
695,205
696,205
700,205
701,205
705,205
706,205
710,205
711,205
715,205
716,205
721,205
726,205
730,205
218,206
248,206
680,207
681,207
685,207
686,207
690,207
691,207
695,207
696,207
700,207
701,207
705,207
706,207
710,207
711,207
715,207
716,207
721,207
726,207
730,207
688,211
689,211
690,211
691,211
692,211
693,211
694,211
695,211
696,211
697,211
698,211
699,211
700,211
701,211
702,211
703,211
704,211
705,211
706,211
707,211
708,211
709,211
710,211
711,211
712,211
713,211
714,211
715,211
716,211
717,211
718,211
719,211
720,211
721,211
722,211
723,211
724,211
725,211
726,211
727,211
728,211
729,211
730,211
219,213
189,214
219,214
249,214
189,216
249,216
694,216
695,216
696,216
699,216
700,216
701,216
704,216
705,216
706,216
710,216
711,216
715,216
716,216
720,216
721,216
725,216
726,216
730,216
704,220
706,220
707,220
708,220
709,220
711,220
712,220
713,220
714,220
716,220
717,220
718,220
719,220
721,220
722,220
723,220
724,220
726,220
727,220
728,220
729,220
707,221
709,221
712,221
714,221
717,221
719,221
722,221
724,221
727,221
729,221
220,222
250,222
220,223
250,223
702,223
703,223
707,223
708,223
709,223
712,223
713,223
714,223
717,223
718,223
719,223
722,223
723,223
724,223
727,223
728,223
729,223
190,224
220,224
250,224
190,225
713,227
715,227
718,227
720,227
723,227
725,227
728,227
730,227
719,229
720,229
721,229
722,229
724,229
725,229
726,229
727,229
729,229
730,229
722,231
723,231
725,231
727,231
728,231
730,231
251,232
251,233
713,233
714,233
717,233
718,233
719,233
722,233
723,233
724,233
727,233
728,233
729,233
191,234
251,234
191,235
221,235
726,237
727,237
729,237
252,242
222,243
252,243
723,243
724,243
727,243
728,243
729,243
192,244
222,244
252,244
192,245
729,245
223,252
223,253
253,253
193,254
223,254
253,254
193,255
253,255
194,263
254,263
194,264
224,264
254,264
254,265
224,266
225,273
195,274
225,274
255,274
195,275
225,275
255,275
196,284
226,284
256,284
196,285
226,285
256,285
197,294
197,295
227,295
257,295
228,304
258,304
198,305
228,306
258,306
259,312
259,313
199,314
229,314
259,314
199,316
229,316
200,323
200,324
230,324
260,325
230,326
201,332
231,332
201,333
231,333
261,333
201,334
231,334
261,334
180,352
180,353
180,354
180,355
180,356
180,357
180,358
180,359
180,360
180,361
181,362
181,363
181,364
181,365
181,366
181,367
181,368
181,369
181,370
181,371
212,372
242,372
212,373
242,373
212,374
242,374
212,375
242,375
212,376
242,376
212,377
242,377
212,378
242,378
212,379
242,379
212,380
242,380
212,381
242,381
183,382
183,383
183,384
183,385
183,386
183,387
183,388
183,389
183,390
183,391
184,392
214,392
244,392
184,393
214,393
244,393
184,394
214,394
244,394
184,395
214,395
244,395
184,396
214,396
244,396
184,397
214,397
244,397
184,398
214,398
244,398
184,399
214,399
244,399
184,400
214,400
244,400
184,401
214,401
244,401
185,402
185,403
185,404
185,405
185,406
185,407
185,408
185,409
185,410
185,411
247,422
247,423
247,424
247,425
247,426
247,427
247,428
247,429
247,430
247,431
220,452
250,452
220,453
250,453
250,454
250,455
250,456
250,457
251,462
252,472
201,562
201,563
201,564
201,565
201,566
201,567
201,568
201,569
201,570
201,571
180,1468
180,1469
180,1470
180,1475
