"","d_ITN0","itn_cov","bites_Bed","init_EIR","r_ITN0","itn_half_life","resistance","Q0","species"
"1",0.340773639,0.2,0.85,2,0.637100833,963.6,0,0.92,"gambiae"
"2",0.332985807,0.2,0.85,2,0.643342209,942.83535367,0.1,0.92,"gambiae"
"3",0.286988556,0.2,0.85,2,0.678306455,845.815421625,0.5,0.92,"gambiae"
"4",0.249873012,0.2,0.85,2,0.703673574,785.49756088,0.7,0.92,"gambiae"
"5",0.173122775,0.2,0.85,2,0.745166567,702.895688015,0.9,0.92,"gambiae"
"6",0.340773639,0.4,0.85,2,0.637100833,963.6,0,0.92,"gambiae"
"7",0.332985807,0.4,0.85,2,0.643342209,942.83535367,0.1,0.92,"gambiae"
"8",0.286988556,0.4,0.85,2,0.678306455,845.815421625,0.5,0.92,"gambiae"
"9",0.249873012,0.4,0.85,2,0.703673574,785.49756088,0.7,0.92,"gambiae"
"10",0.173122775,0.4,0.85,2,0.745166567,702.895688015,0.9,0.92,"gambiae"
"11",0.340773639,0.6,0.85,2,0.637100833,963.6,0,0.92,"gambiae"
"12",0.332985807,0.6,0.85,2,0.643342209,942.83535367,0.1,0.92,"gambiae"
"13",0.286988556,0.6,0.85,2,0.678306455,845.815421625,0.5,0.92,"gambiae"
"14",0.249873012,0.6,0.85,2,0.703673574,785.49756088,0.7,0.92,"gambiae"
"15",0.173122775,0.6,0.85,2,0.745166567,702.895688015,0.9,0.92,"gambiae"
"16",0.340773639,0.8,0.85,2,0.637100833,963.6,0,0.92,"gambiae"
"17",0.332985807,0.8,0.85,2,0.643342209,942.83535367,0.1,0.92,"gambiae"
"18",0.286988556,0.8,0.85,2,0.678306455,845.815421625,0.5,0.92,"gambiae"
"19",0.249873012,0.8,0.85,2,0.703673574,785.49756088,0.7,0.92,"gambiae"
"20",0.173122775,0.8,0.85,2,0.745166567,702.895688015,0.9,0.92,"gambiae"
"21",0.340773639,0.2,0.8,2,0.637100833,963.6,0,0.71,"arabiensis"
"22",0.332985807,0.2,0.8,2,0.643342209,942.83535367,0.1,0.71,"arabiensis"
"23",0.286988556,0.2,0.8,2,0.678306455,845.815421625,0.5,0.71,"arabiensis"
"24",0.249873012,0.2,0.8,2,0.703673574,785.49756088,0.7,0.71,"arabiensis"
"25",0.173122775,0.2,0.8,2,0.745166567,702.895688015,0.9,0.71,"arabiensis"
"26",0.340773639,0.4,0.8,2,0.637100833,963.6,0,0.71,"arabiensis"
"27",0.332985807,0.4,0.8,2,0.643342209,942.83535367,0.1,0.71,"arabiensis"
"28",0.286988556,0.4,0.8,2,0.678306455,845.815421625,0.5,0.71,"arabiensis"
"29",0.249873012,0.4,0.8,2,0.703673574,785.49756088,0.7,0.71,"arabiensis"
"30",0.173122775,0.4,0.8,2,0.745166567,702.895688015,0.9,0.71,"arabiensis"
"31",0.340773639,0.6,0.8,2,0.637100833,963.6,0,0.71,"arabiensis"
"32",0.332985807,0.6,0.8,2,0.643342209,942.83535367,0.1,0.71,"arabiensis"
"33",0.286988556,0.6,0.8,2,0.678306455,845.815421625,0.5,0.71,"arabiensis"
"34",0.249873012,0.6,0.8,2,0.703673574,785.49756088,0.7,0.71,"arabiensis"
"35",0.173122775,0.6,0.8,2,0.745166567,702.895688015,0.9,0.71,"arabiensis"
"36",0.340773639,0.8,0.8,2,0.637100833,963.6,0,0.71,"arabiensis"
"37",0.332985807,0.8,0.8,2,0.643342209,942.83535367,0.1,0.71,"arabiensis"
