"row","col"
240,10
181,11
241,11
212,12
242,12
214,14
244,14
246,16
217,17
190,20
250,20
221,21
222,22
255,25
196,26
226,26
227,27
228,28
258,28
230,30
240,33
181,34
241,34
212,35
242,35
214,37
244,37
246,39
217,40
190,43
196,49
240,99
181,100
241,100
212,101
242,101
214,103
244,103
246,105
217,106
190,109
196,115
240,122
240,123
180,124
210,124
240,124
180,126
210,126
181,132
241,132
181,133
241,133
181,134
211,134
241,134
211,135
212,142
242,142
212,143
242,143
182,144
212,144
242,144
182,145
183,153
213,153
183,154
213,154
243,154
183,155
243,156
214,162
244,162
214,163
244,163
214,164
244,164
184,165
185,174
215,174
245,174
185,176
215,176
245,176
246,182
246,183
186,184
216,184
246,184
186,186
216,186
217,192
217,193
247,193
187,194
217,194
247,194
187,195
668,203
669,203
672,203
673,203
674,203
677,203
678,203
679,203
682,203
683,203
684,203
688,203
689,203
693,203
694,203
698,203
699,203
703,203
704,203
708,203
709,203
713,203
714,203
715,203
718,203
719,203
720,203
723,203
724,203
725,203
728,203
729,203
218,204
188,205
248,205
218,206
680,207
681,207
682,207
683,207
684,207
685,207
686,207
687,207
688,207
689,207
690,207
691,207
692,207
693,207
694,207
695,207
696,207
697,207
698,207
699,207
700,207
701,207
702,207
703,207
704,207
705,207
706,207
707,207
708,207
709,207
710,207
711,207
712,207
713,207
714,207
715,207
716,207
717,207
718,207
719,207
720,207
721,207
722,207
723,207
724,207
725,207
726,207
727,207
728,207
729,207
730,207
682,208
683,208
684,208
688,208
689,208
693,208
694,208
698,208
699,208
703,208
704,208
708,208
709,208
713,208
714,208
715,208
718,208
719,208
720,208
723,208
724,208
725,208
728,208
729,208
686,209
687,209
688,209
689,209
690,209
691,209
692,209
693,209
694,209
695,209
696,209
697,209
698,209
699,209
700,209
701,209
702,209
703,209
704,209
705,209
706,209
707,209
708,209
709,209
710,209
711,209
712,209
713,209
714,209
715,209
716,209
717,209
718,209
719,209
720,209
721,209
722,209
723,209
724,209
725,209
726,209
727,209
728,209
729,209
730,209
189,213
684,213
685,213
686,213
687,213
688,213
689,213
690,213
691,213
692,213
693,213
694,213
695,213
696,213
697,213
698,213
699,213
700,213
701,213
702,213
703,213
704,213
705,213
706,213
707,213
708,213
709,213
710,213
711,213
712,213
713,213
714,213
715,213
716,213
717,213
718,213
719,213
720,213
721,213
722,213
723,213
724,213
725,213
726,213
727,213
728,213
729,213
730,213
189,214
219,214
249,214
687,214
690,214
691,214
692,214
695,214
696,214
697,214
700,214
701,214
702,214
705,214
706,214
707,214
710,214
711,214
712,214
716,214
717,214
721,214
722,214
726,214
727,214
730,214
691,215
692,215
693,215
694,215
695,215
696,215
697,215
698,215
699,215
700,215
701,215
702,215
703,215
704,215
705,215
706,215
707,215
708,215
709,215
710,215
711,215
712,215
713,215
714,215
715,215
716,215
717,215
718,215
719,215
720,215
721,215
722,215
723,215
724,215
725,215
726,215
727,215
728,215
729,215
730,215
219,216
249,216
697,217
700,217
702,217
705,217
707,217
710,217
712,217
717,217
722,217
727,217
730,217
702,219
704,219
706,219
707,219
709,219
711,219
712,219
714,219
716,219
717,219
719,219
721,219
722,219
724,219
726,219
727,219
729,219
730,219
705,220
708,221
711,221
713,221
716,221
718,221
721,221
723,221
726,221
728,221
190,222
250,222
190,223
220,223
250,223
699,223
703,223
704,223
708,223
709,223
713,223
714,223
715,223
718,223
719,223
720,223
723,223
724,223
725,223
728,223
729,223
190,224
220,224
250,224
712,227
713,227
715,227
717,227
718,227
720,227
722,227
723,227
725,227
727,227
728,227
730,227
719,229
721,229
722,229
724,229
726,229
727,229
729,229
730,229
723,231
728,231
730,231
221,232
221,233
251,233
716,233
717,233
721,233
722,233
726,233
727,233
730,233
221,234
251,234
191,235
251,235
727,237
729,237
730,237
222,242
192,243
222,243
726,243
727,243
730,243
192,244
222,244
252,244
252,246
193,253
253,253
193,254
223,254
253,254
253,255
223,256
194,263
194,264
224,264
254,264
224,266
254,266
255,272
255,273
195,274
225,274
255,274
195,275
225,276
196,282
226,282
196,283
226,283
196,284
226,284
256,284
227,292
197,293
227,293
197,294
227,294
257,294
257,296
228,302
258,302
228,303
258,303
228,304
258,304
198,305
199,313
229,313
199,314
229,314
259,314
199,315
259,316
230,322
230,323
260,323
230,324
260,324
200,325
201,334
231,334
261,334
201,335
231,335
261,335
240,352
240,353
240,354
240,355
240,356
240,357
240,358
240,359
240,360
240,361
181,362
241,362
181,363
241,363
181,364
241,364
181,365
241,365
181,366
241,366
181,367
241,367
181,368
241,368
181,369
241,369
181,370
241,370
181,371
241,371
212,372
242,372
212,373
242,373
212,374
242,374
212,375
242,375
212,376
242,376
212,377
242,377
212,378
242,378
212,379
242,379
212,380
242,380
212,381
242,381
214,392
244,392
214,393
244,393
214,394
244,394
214,395
244,395
214,396
244,396
214,397
244,397
214,398
244,398
214,399
244,399
214,400
244,400
214,401
244,401
246,412
246,413
246,414
246,415
246,416
246,417
246,418
246,419
246,420
246,421
217,422
217,423
217,424
217,425
217,426
217,427
217,428
217,429
217,430
217,431
190,452
250,452
190,453
190,454
190,455
190,456
190,457
190,458
190,459
190,460
190,461
196,512
196,513
196,514
196,515
196,516
196,517
196,518
196,519
196,520
196,521
